Time(s),CH1V,CH2V,CH3V,CH4V
-3.740000e-04,9.666667e-04,5.600000e-04,8.333334e-04,2.466667e-04
-3.720000e-04,7.333333e-04,2.133333e-04,1.400000e-04,-2.133333e-04
-3.700000e-04,7.333333e-04,5.600000e-04,1.060000e-03,4.800000e-04
-3.680000e-04,5.066667e-04,7.933333e-04,1.400000e-04,2.000000e-05
-3.660000e-04,8.533333e-04,4.400000e-04,7.200000e-04,3.600000e-04
-3.640000e-04,-4.200000e-04,5.600000e-04,1.400000e-04,4.800000e-04
-3.620000e-04,8.533333e-04,5.600000e-04,7.200000e-04,-4.400000e-04
-3.600000e-04,1.080000e-03,5.600000e-04,6.000000e-04,4.800000e-04
-3.580000e-04,1.313333e-03,5.600000e-04,4.866667e-04,2.466667e-04
-3.560000e-04,6.200000e-04,6.733334e-04,2.600000e-04,-9.333334e-05
-3.540000e-04,1.426667e-03,1.020000e-03,7.200000e-04,2.000000e-05
-3.520000e-04,1.600000e-04,3.266667e-04,1.400000e-04,-9.333334e-05
-3.500000e-04,3.866667e-04,7.933333e-04,8.333334e-04,3.600000e-04
-3.480000e-04,7.333333e-04,6.733334e-04,3.733333e-04,2.000000e-05
-3.460000e-04,1.426667e-03,4.400000e-04,8.333334e-04,2.000000e-05
-3.440000e-04,-7.333334e-05,1.140000e-03,3.733333e-04,2.000000e-05
-3.420000e-04,1.426667e-03,2.133333e-04,9.466666e-04,2.000000e-05
-3.400000e-04,5.066667e-04,4.400000e-04,7.200000e-04,-9.333334e-05
-3.380000e-04,1.080000e-03,7.933333e-04,-4.333333e-04,-4.400000e-04
-3.360000e-04,8.533333e-04,6.733334e-04,2.666667e-05,2.000000e-05
